Index,Price,Open,High,Low,Vol.,Change %
340,379.5,384.5,385,378.5,160.21K,-1.24%
341,381.25,381.5,382.75,378.75,151.81K,0.46%
342,378.75,380.5,382,376.5,216.44K,-0.66%
343,382.25,378.25,383.5,378.25,176.00K,0.92%
344,380.75,381.5,383.25,379.5,122.10K,-0.39%
345,379.25,380.25,381.75,376,191.89K,-0.39%
346,383.5,380.25,385,380,256.72K,1.12%
347,381.75,383.25,383.5,379,219.02K,-0.46%
348,379.75,381,382,378,200.41K,-0.52%
349,383,379.75,383.75,378.25,241.46K,0.86%
350,379.5,382.25,382.75,379,202.46K,-0.91%
351,377.75,379.5,381.5,376.25,216.86K,-0.46%
352,383,378.5,383.25,378,215.11K,1.39%
353,380.5,382.25,382.75,378.5,172.27K,-0.65%
354,378.5,380.75,381.25,378,173.14K,-0.53%
355,377,378.25,380.5,376.25,169.07K,-0.40%
356,372.25,376.25,376.25,370,170.53K,-1.26%
357,372.5,373,374.75,371.25,119.87K,0.07%
358,370.5,372,374,368.25,268.80K,-0.54%
359,364.5,369.75,370,361.75,156.14K,-1.62%
360,366.5,364.5,367.25,362.75,18.81K,0.55%
361,374.75,366.5,375.75,366,6.09K,2.25%
362,381.75,375.75,383.75,375.75,3.19K,1.87%
363,387,382,388.5,380,3.28K,1.38%
364,384.5,387.5,387.5,382,1.83K,-0.65%
365,377.25,383.75,385.5,377,1.28K,-1.89%
366,370.38,370.38,370.38,370.38,-,-1.82%
367,374.25,372,377.5,368.5,0.92K,1.04%
368,380,379,381.5,377.5,0.61K,1.54%
369,379.25,380.25,380.5,377,0.94K,-0.20%
370,369.75,377.5,377.5,367,0.34K,-2.50%
371,370.75,370,375.5,370,0.12K,0.27%
372,362.62,362.62,362.62,362.62,-,-2.19%
373,354.75,362.5,367.75,354,188.79K,-2.17%
374,344,355.25,356.75,342.75,219.22K,-3.03%
375,335.25,344,345.25,332,229.88K,-2.54%
376,345.5,336.5,354.75,336.5,-,3.06%
377,343.75,346.5,356.75,342.25,-,-0.51%
378,340.38,340.38,340.38,340.38,-,-0.98%
379,343.5,340.25,345.5,338.25,-,0.92%
380,347.25,343.5,350.5,338,-,1.09%
381,348.5,347.5,352.75,345.75,-,0.36%
382,348.75,348.25,349.25,343.75,-,0.07%
383,346,348.5,350,342.5,-,-0.79%
384,342.75,342.75,342.75,342.75,-,-0.94%
385,341.25,343,346.75,340,108.49K,-0.44%
386,340.75,341.75,344.75,333.5,208.19K,-0.15%
387,334.75,341.25,342.75,333.5,151.93K,-1.76%
388,333.5,335,343.25,333,151.69K,-0.37%
389,330.75,334.5,338.5,328,158.65K,-0.82%
390,329.38,329.38,329.38,329.38,-,-0.41%
391,327.75,329.75,331.75,325.5,111.04K,-0.49%
392,331.5,328,335.5,328,157.37K,1.14%
393,330,332,334,328.25,151.31K,-0.45%
394,331.75,330.75,333.5,328,169.67K,0.53%
395,332.25,332.25,332.25,332.25,-,0.15%
396,332.62,332.62,332.62,332.62,-,0.11%
397,331.5,332.25,334,326.5,147.09K,-0.34%
398,326,331.25,332,325.75,191.91K,-1.66%
399,319.25,326,326.75,317.5,161.44K,-2.07%
400,319.75,318.75,323,317.75,136.58K,0.16%
401,322.25,319.75,325.5,319.5,99.36K,0.78%
402,322.38,322.38,322.38,322.38,-,0.04%
403,314.25,322.5,323.25,313.5,150.68K,-2.52%
404,309.25,314.25,316.25,301,197.93K,-1.59%
405,317.5,310,320.25,308.25,146.97K,2.67%
406,319.25,317,323.5,315,136.85K,0.55%
407,315.75,319.25,320.75,312,113.48K,-1.10%
408,322.38,322.38,322.38,322.38,-,2.10%
409,305.5,315,315.75,304.25,108.69K,-5.24%
410,302.75,305,308.5,301.25,138.10K,-0.90%
411,304.5,302.75,308.75,300.25,121.80K,0.58%
412,311.5,305.25,313,303.5,11.09K,2.30%
413,311.5,311,311.5,308,3.51K,0.00%
414,316.88,316.88,316.88,316.88,-,1.73%
415,310.75,309.5,310,305.5,2.62K,-1.93%
416,313,310.5,314.75,310.5,0.87K,0.72%
417,311.75,315,315,311,0.52K,-0.40%
418,316,313.5,318,313.25,1.08K,1.36%
419,319,317.75,321.75,317.5,1.07K,0.95%
420,320.88,320.88,320.88,320.88,-,0.59%
421,318.5,320,322.25,318,0.33K,-0.74%
422,323.75,318.75,324.5,312.75,0.27K,1.65%
423,320.25,323.5,323.5,320,0.09K,-1.08%
424,320.25,318.12,318.88,315.62,0.06K,0.00%
425,319.25,317.75,320.5,316.75,101.61K,-0.31%
426,320.62,320.62,320.62,320.62,-,0.43%
427,320.75,320,322,318,99.37K,0.04%
428,321.25,320.75,325.5,320.5,126.38K,0.16%
429,319.5,321.25,321.5,317.25,154.47K,-0.54%
430,317.75,319,320.25,316.25,115.12K,-0.55%
431,318,317.75,319,316,97.19K,0.08%
432,316.88,316.88,316.88,316.88,-,-0.35%
433,319,316.75,323,316.5,145.18K,0.67%
434,320.5,320,321.75,319.25,78.42K,0.47%
435,327.5,320.25,330.75,319.5,246.97K,2.18%
436,325.75,327.5,329.5,323.25,192.31K,-0.53%
437,325.12,325.38,325.38,325.12,-,-0.19%
438,323.25,325.5,327.75,319.25,151.32K,-0.58%
439,324.25,323.5,325.25,322,130.47K,0.31%
440,324,324.25,324.5,321.25,128.01K,-0.08%
441,329,324.25,329.5,324,155.61K,1.54%
442,331.25,328.75,332.5,328.25,215.91K,0.68%
443,333.38,333.38,333.38,333.38,-,0.64%
444,333.75,333.5,334.75,331,206.34K,0.11%
445,327.5,332.25,334,326.75,253.63K,-1.87%
446,326.25,327.25,328,324.25,243.29K,-0.38%
447,329.75,326,331,325.25,272.98K,1.07%
448,330,329.5,333,328.25,236.62K,0.08%
449,328.88,328.88,328.88,328.88,-,-0.34%
450,329.25,329.25,330,325.5,170.74K,0.11%
451,329,331.75,334.5,328,229.10K,-0.08%
452,330.25,328,331.25,325,225.64K,0.38%
453,331,329.75,333.75,328.75,201.44K,0.23%
454,332.5,329.75,333.75,327.5,170.57K,0.45%
455,331.62,331.62,331.62,331.62,-,-0.26%
456,328.25,332,332.25,328,134.48K,-1.02%
457,325,327.5,327.5,321.25,185.86K,-0.99%
458,324.25,324.5,329,323.75,180.31K,-0.23%
459,317.25,323.5,324.25,315,194.69K,-2.16%
460,317,317,319.75,313.5,216.58K,-0.08%
461,316,316.5,316.5,316,-,-0.32%
462,326.25,316.75,326.5,316,150.22K,3.24%
463,338.5,325.25,342,323.75,21.41K,3.75%
