"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 17, 2020","67.67","67.15","67.80","66.50","18.70K","1.18%"
"Jan 21, 2020","67.35","67.58","68.00","66.42","14.52K","-0.47%"
"Jan 22, 2020","67.55","67.62","67.95","66.90","7.57K","0.30%"
"Jan 23, 2020","68.50","67.45","69.00","67.28","11.48K","1.41%"
"Jan 24, 2020","67.22","68.40","68.40","66.75","13.16K","-1.87%"
"Jan 27, 2020","65.95","66.28","66.33","65.22","17.01K","-1.89%"
"Jan 28, 2020","66.22","66.50","67.05","66.15","9.08K","0.41%"
"Jan 29, 2020","64.30","66.50","66.60","64.12","12.12K","-2.90%"
"Jan 30, 2020","61.30","63.25","63.25","61.30","12.11K","-4.67%"
"Jan 31, 2020","57.12","60.50","60.50","56.85","14.64K","-6.82%"
"Feb 03, 2020","56.30","57.88","58.00","54.67","10.20K","-1.44%"
"Feb 04, 2020","56.75","56.83","57.85","56.55","5.77K","0.80%"
"Feb 05, 2020","57.10","57.60","57.98","56.98","6.02K","0.62%"
"Feb 06, 2020","57.70","56.85","58.27","56.77","6.81K","1.05%"
"Feb 07, 2020","57.10","57.70","57.80","57.02","5.24K","-1.04%"
"Feb 10, 2020","56.20","57.00","57.00","55.77","3.16K","-1.58%"
"Feb 11, 2020","56.12","56.17","56.33","55.60","2.94K","-0.14%"
"Feb 12, 2020","55.67","56.00","56.30","55.50","2.51K","-0.80%"
"Feb 13, 2020","56.00","55.73","56.12","55.65","1.80K","0.59%"
"Feb 14, 2020","55.90","55.88","56.00","55.65","1.16K","-0.18%"
"Feb 18, 2020","65.50","64.47","65.85","63.10","22.22K","17.17%"
"Feb 19, 2020","67.58","66.10","68.25","65.78","25.10K","3.18%"
"Feb 20, 2020","66.88","66.90","67.25","66.10","16.76K","-1.04%"
"Feb 21, 2020","67.03","66.50","67.15","66.05","12.02K","0.22%"
"Feb 24, 2020","64.62","65.00","65.35","64.08","20.13K","-3.60%"
"Feb 25, 2020","64.67","65.20","65.88","64.50","17.02K","0.08%"
"Feb 26, 2020","65.15","64.67","65.95","64.22","18.47K","0.74%"
"Feb 27, 2020","62.55","64.53","64.92","62.15","26.61K","-3.99%"
